venue_name,event_type,expected_attendance,temperature,humidity,rainfall,transport_delay_score,road_congestion_score,crowd_density_score,hospital_distance_km,police_station_distance_km,accessibility_score,social_media_risk_score,final_crisis_risk_score,risk_level,recommended_action
Victoria Park,Closing Ceremony,74519,34.24,71.11,3.84,14,16,39,9.18,1.4,79,58,81.27,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Basketball,54145,30.26,86.87,7.22,84,43,31,7.69,0.62,60,98,100.58,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Closing Ceremony,53758,35.59,49.21,16.32,20,12,20,14.69,7.61,85,6,75.32,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,62941,33.06,49.81,16.19,12,81,1,2.41,7.4,66,49,66.31,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Paralympic Event,51486,34.81,75.3,16.27,60,96,55,9.37,1.51,62,28,105.27,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Paralympic Event,14496,33.22,43.8,13.85,15,71,0,11.25,8.87,43,98,87.36,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,73056,29.1,75.32,18.48,26,65,40,5.94,5.62,75,85,85.33,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,15805,34.65,35.61,22.49,52,19,74,11.47,8.5,45,55,99.63,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Cycling,14596,30.87,77.92,6.52,25,36,84,0.53,2.19,49,37,81.58,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Basketball,66627,33.88,40.11,17.65,3,92,13,10.99,1.49,97,54,79.21,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,41727,30.07,72.21,24.15,30,59,59,5.17,6.55,58,21,81.62,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,67539,33.7,73.92,23.66,63,18,47,5.92,1.66,88,54,86.76,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Athletics,6651,19.25,79.08,23.0,56,44,32,6.61,6.54,87,46,68.88,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Paralympic Event,35254,34.8,56.11,17.16,15,68,60,14.7,2.07,82,93,106.18,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Tennis,40525,28.36,51.43,28.22,41,34,45,3.77,4.08,76,83,76.8,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Cycling,30279,27.66,42.34,2.42,38,34,0,11.81,0.57,80,53,69.91,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,12531,20.71,76.33,19.71,35,84,29,4.6,0.92,61,91,77.6,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Swimming,39742,36.13,48.73,8.16,53,94,88,11.76,1.12,84,99,121.46,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Swimming,7643,30.39,65.91,10.38,49,32,90,5.54,9.05,57,31,90.71,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Swimming,71707,20.56,83.52,11.8,25,13,56,7.67,9.81,44,2,65.55,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Athletics,31928,27.28,88.46,18.26,60,40,32,2.69,2.64,81,70,78.44,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Paralympic Event,7336,28.47,41.31,25.8,57,42,40,11.98,5.71,73,69,89.08,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,74184,26.57,42.75,19.93,56,65,73,7.2,4.41,100,38,84.0,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Basketball,79071,33.74,41.16,10.68,98,63,62,7.71,3.73,60,19,99.63,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Paralympic Event,14283,33.14,63.57,6.15,84,78,85,2.84,2.93,100,39,99.16,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Basketball,44961,29.16,65.39,2.82,2,71,43,8.31,5.23,45,38,80.27,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Paralympic Event,56578,25.61,77.66,28.93,11,73,7,4.66,8.03,75,100,71.77,Medium,Increase monitoring and prepare support teams.
Victoria Park,Closing Ceremony,11710,30.85,45.77,26.91,81,41,59,10.59,8.04,46,79,104.12,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Cycling,70794,35.94,44.29,15.21,91,0,7,13.46,6.72,82,100,96.71,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Tennis,16205,37.36,82.13,3.53,10,45,15,14.83,5.11,92,20,85.7,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,61481,21.32,83.51,12.82,26,68,24,1.85,0.78,59,33,61.34,Medium,Increase monitoring and prepare support teams.
The Gabba,Tennis,37994,21.75,82.2,24.57,49,5,82,11.51,9.89,41,46,89.55,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,23888,25.16,62.18,24.85,91,29,89,4.04,1.57,65,61,93.03,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Cycling,64042,20.84,54.14,13.51,57,74,56,6.81,5.98,56,68,84.44,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Swimming,81637,37.58,69.88,3.79,15,33,65,5.07,0.54,86,38,84.48,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,43547,22.54,81.04,8.38,62,66,3,13.06,2.55,54,62,85.74,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,14528,24.08,70.92,28.15,75,16,38,12.21,1.06,54,81,91.5,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Opening Ceremony,77954,18.0,44.3,11.69,45,37,13,13.04,5.69,74,18,60.9,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Paralympic Event,17109,27.58,35.99,12.64,13,25,86,2.35,7.22,85,50,68.87,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Athletics,26778,34.1,35.99,28.88,62,72,18,13.15,1.57,77,52,93.84,High,"Deploy additional transport, security, and medical support."
Victoria Park,Basketball,36655,23.27,37.54,17.02,51,88,13,9.18,3.32,98,77,75.72,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,76363,19.29,83.25,26.32,85,40,54,8.2,8.46,87,29,80.09,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Swimming,71314,37.91,82.06,15.64,68,47,19,3.69,5.14,92,72,90.34,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,51403,35.37,38.56,28.67,7,44,86,6.74,3.51,51,45,89.49,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Paralympic Event,31649,21.3,44.38,28.44,37,19,28,9.77,6.93,67,27,61.47,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Tennis,35795,27.75,70.87,28.52,33,90,54,14.77,3.06,77,5,92.74,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,31512,18.8,68.22,27.22,82,64,56,5.3,5.08,79,13,74.79,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Closing Ceremony,61044,27.49,67.5,16.11,48,45,61,12.58,8.52,72,89,99.73,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Cycling,8828,29.44,63.2,8.8,8,87,36,4.63,8.27,60,50,76.9,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Paralympic Event,54334,35.48,62.15,21.07,18,10,76,13.98,2.07,79,18,91.77,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,83279,31.42,49.2,20.24,32,44,89,14.35,8.3,47,24,100.76,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,84190,32.35,80.63,1.22,83,81,17,2.16,4.15,75,81,91.8,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,39542,26.38,76.31,2.13,14,40,38,6.48,6.64,49,65,75.97,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Swimming,79637,30.72,85.23,18.38,27,2,83,9.75,7.54,68,37,89.47,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,76975,34.4,73.22,15.97,64,54,44,6.29,9.15,88,94,98.9,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Paralympic Event,55583,31.05,81.51,20.77,17,35,98,1.63,5.65,77,29,81.73,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,47849,25.68,59.76,17.38,40,62,22,5.12,6.03,97,56,68.96,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,50734,28.23,44.11,19.37,36,55,64,5.52,1.97,68,73,84.37,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,7011,18.13,56.22,23.75,10,48,37,12.78,5.55,87,55,67.36,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Tennis,22438,31.77,42.73,14.57,87,58,66,14.48,4.15,66,45,109.0,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Swimming,77127,26.28,56.75,9.4,14,29,41,13.55,1.6,81,100,84.67,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Paralympic Event,28173,30.06,80.47,29.52,76,58,46,2.7,0.79,71,21,83.64,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Cycling,8236,27.56,64.27,5.05,52,86,50,5.66,8.35,84,50,86.1,High,"Deploy additional transport, security, and medical support."
The Gabba,Opening Ceremony,5340,24.85,49.86,28.99,67,0,91,8.95,10.0,52,97,96.22,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Basketball,68922,33.65,75.4,9.01,85,23,18,3.42,4.25,67,4,75.67,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Cycling,80774,37.28,85.02,21.66,44,46,11,1.05,7.59,78,91,83.36,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,6207,23.52,83.24,28.32,16,18,25,14.72,5.09,71,69,78.19,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Paralympic Event,77805,28.45,65.95,13.24,26,74,63,7.64,5.98,90,52,86.34,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,26083,34.55,77.05,17.21,34,47,72,1.36,0.53,56,96,95.71,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Closing Ceremony,45510,35.67,59.66,15.31,60,30,79,11.56,9.33,61,42,105.54,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,24337,20.69,51.47,10.76,65,40,23,11.13,5.52,69,46,73.99,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Swimming,15503,37.89,39.94,0.07,66,64,35,12.6,7.53,76,12,96.11,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Closing Ceremony,13068,34.44,79.51,26.53,34,65,62,1.78,5.13,85,77,91.02,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Basketball,13605,18.49,51.84,16.47,13,59,76,14.24,1.19,100,82,84.07,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,27031,31.63,41.21,25.26,15,59,65,1.56,4.33,86,30,70.48,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Athletics,73487,23.85,43.38,7.99,92,52,38,3.78,6.58,92,12,69.1,Medium,Increase monitoring and prepare support teams.
Victoria Park,Swimming,66202,30.96,41.76,26.66,22,31,61,7.08,8.3,93,51,76.69,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,17145,22.84,74.27,24.68,23,78,21,8.67,1.64,98,86,76.2,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Athletics,79763,27.93,50.64,4.01,97,74,75,6.34,1.48,88,92,104.87,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Athletics,73703,29.87,84.26,17.5,7,40,5,4.08,7.54,68,27,60.5,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Opening Ceremony,24008,20.6,66.07,26.0,67,99,81,13.43,4.62,88,69,104.83,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Closing Ceremony,37441,18.85,66.05,27.91,88,54,9,2.52,2.92,82,12,57.86,Medium,Increase monitoring and prepare support teams.
Victoria Park,Opening Ceremony,59040,23.96,40.8,23.45,11,36,41,2.02,5.24,78,27,52.0,Low,Continue normal monitoring.
RNA Showgrounds,Opening Ceremony,71914,27.15,46.49,11.06,70,12,81,8.51,4.45,41,15,86.52,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Opening Ceremony,57389,27.45,83.41,6.47,86,44,33,6.22,9.34,75,17,81.88,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Basketball,60621,30.9,56.73,21.4,53,64,99,1.74,0.91,52,56,96.35,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Tennis,15293,28.32,49.72,25.06,45,12,36,13.71,8.46,56,99,91.06,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Athletics,29472,32.72,53.16,27.18,23,28,42,13.23,0.9,65,64,89.48,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Paralympic Event,24611,23.35,47.09,3.95,75,26,52,1.61,4.13,80,33,66.35,Medium,Increase monitoring and prepare support teams.
Victoria Park,Tennis,25447,24.64,53.8,22.17,6,56,11,0.52,3.35,75,76,54.67,Low,Continue normal monitoring.
Queensland Tennis Centre,Basketball,69110,31.51,65.08,24.89,86,88,71,3.5,1.95,79,66,102.97,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Opening Ceremony,7204,22.93,61.62,22.42,86,43,89,8.94,9.91,94,4,87.27,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,79707,28.89,87.95,2.27,16,58,89,3.34,1.84,65,24,84.12,High,"Deploy additional transport, security, and medical support."
The Gabba,Swimming,60751,30.72,56.35,20.22,64,48,46,13.8,3.26,99,56,96.02,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Paralympic Event,41081,31.8,86.18,14.92,74,53,32,14.39,5.53,54,95,112.27,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Athletics,32076,30.42,86.08,22.83,77,73,45,6.78,0.92,69,5,91.04,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,82227,35.95,72.09,4.11,74,76,49,12.88,2.8,45,40,113.22,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Basketball,64234,27.96,57.37,28.59,61,75,10,7.15,9.23,62,54,80.73,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,35873,18.28,80.62,21.96,97,16,42,8.06,9.78,94,7,70.07,Medium,Increase monitoring and prepare support teams.
Victoria Park,Athletics,13199,33.46,52.05,6.96,42,38,80,2.86,5.87,61,92,94.05,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Basketball,82960,34.71,78.14,11.31,27,41,42,1.17,8.18,79,65,79.03,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Closing Ceremony,79671,19.91,58.58,0.88,66,12,44,2.22,3.24,95,26,56.41,Medium,Increase monitoring and prepare support teams.
The Gabba,Swimming,72712,18.9,76.86,11.15,83,19,93,13.82,9.53,66,89,104.39,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Opening Ceremony,58521,37.85,56.25,17.22,81,67,64,3.99,2.32,84,19,96.54,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Paralympic Event,34961,34.8,76.35,6.86,64,16,21,13.07,3.18,68,67,96.52,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Closing Ceremony,7871,29.6,63.42,22.76,18,59,70,13.46,9.49,79,4,87.87,High,"Deploy additional transport, security, and medical support."
Victoria Park,Tennis,7179,34.46,83.89,16.34,92,7,40,4.79,6.14,85,27,86.12,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,25954,19.38,86.74,15.21,66,23,26,12.62,3.66,73,92,84.85,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,82801,34.5,63.36,13.9,52,22,68,6.18,5.69,80,56,91.27,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,39148,32.46,46.03,6.11,84,60,83,3.84,0.51,86,67,99.62,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Basketball,25466,31.26,75.8,25.45,86,57,49,13.49,8.27,87,26,102.32,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,12214,34.13,89.17,22.63,84,53,20,2.67,4.12,94,30,83.19,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,52135,21.35,77.93,17.51,10,95,9,7.49,3.94,87,51,65.99,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Opening Ceremony,16156,29.2,77.94,21.25,50,35,80,14.03,8.36,79,14,97.23,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Paralympic Event,72450,34.07,41.71,3.75,56,80,33,12.2,2.35,52,69,102.04,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Basketball,47291,21.15,41.54,22.94,46,54,63,7.7,4.11,54,99,85.66,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,38919,36.13,35.88,23.47,34,77,57,9.43,8.51,94,3,86.53,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Swimming,75533,28.93,88.19,1.55,64,68,26,7.49,1.63,87,63,89.43,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,63002,25.93,42.24,25.96,19,94,67,9.56,3.51,61,56,88.74,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,48526,24.26,86.44,25.52,82,50,81,4.09,2.05,72,11,86.81,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,64722,21.83,57.64,28.05,4,56,27,6.37,1.15,98,32,55.35,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Athletics,31049,22.11,55.98,29.46,83,53,6,9.67,2.39,58,53,77.63,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,27931,23.56,50.2,12.96,56,7,89,7.03,9.78,41,5,77.5,High,"Deploy additional transport, security, and medical support."
The Gabba,Cycling,67875,26.07,75.58,21.14,40,48,90,8.04,1.2,42,9,89.53,High,"Deploy additional transport, security, and medical support."
The Gabba,Opening Ceremony,84650,23.37,50.81,19.7,21,25,42,9.13,2.14,86,19,62.06,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Opening Ceremony,69619,27.16,40.07,16.6,52,33,21,14.49,2.88,49,72,86.84,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Closing Ceremony,50800,28.52,48.72,0.06,67,64,82,2.04,1.97,54,58,91.39,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,6813,30.5,55.55,1.51,64,44,67,14.08,5.65,58,0,96.4,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Basketball,81872,34.8,45.37,20.17,47,37,16,7.72,7.56,89,34,75.3,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Swimming,55516,36.29,58.87,7.76,92,72,26,0.63,6.1,56,42,89.72,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Opening Ceremony,80945,32.02,46.22,19.62,22,95,51,0.7,2.86,96,68,78.41,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,26281,19.25,60.24,21.98,57,32,74,9.12,4.04,94,9,72.47,Medium,Increase monitoring and prepare support teams.
The Gabba,Tennis,65030,34.46,86.3,16.33,45,2,73,7.95,2.91,66,7,88.22,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,28248,36.42,67.14,16.15,59,27,96,13.48,6.83,95,58,113.04,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Athletics,25025,22.97,73.8,12.83,35,36,78,1.43,8.34,61,10,68.08,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,84052,24.02,62.64,1.69,53,87,67,3.55,3.17,42,77,91.3,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Athletics,61704,36.48,41.15,15.49,73,91,20,11.33,7.35,86,83,104.04,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Swimming,17356,18.16,85.85,13.3,22,24,20,11.27,1.23,63,24,61.87,Medium,Increase monitoring and prepare support teams.
Victoria Park,Paralympic Event,7591,34.19,78.25,18.97,48,57,38,3.86,3.53,100,8,77.41,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,64500,28.06,45.66,25.76,41,86,80,5.5,4.89,69,56,91.37,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Tennis,64848,21.21,72.05,5.38,45,22,44,2.9,0.52,41,100,74.81,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,49049,23.94,64.78,10.36,31,41,77,2.26,6.53,90,35,69.69,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,51313,30.16,48.49,1.73,18,14,27,8.79,9.87,48,46,71.2,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Tennis,41320,28.82,73.3,21.06,64,28,49,5.25,5.69,40,33,83.65,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,70774,20.31,68.31,3.52,28,38,87,10.54,2.46,44,25,82.83,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Swimming,10126,33.46,87.33,23.29,61,16,42,1.5,5.01,54,28,79.4,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,15655,32.29,83.49,21.94,72,55,64,7.24,8.8,80,50,100.28,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Opening Ceremony,5717,28.21,80.13,12.14,14,2,10,1.6,4.18,79,17,48.52,Low,Continue normal monitoring.
Brisbane Convention Centre,Closing Ceremony,56759,22.16,37.31,14.38,56,35,78,1.47,6.66,84,81,74.09,Medium,Increase monitoring and prepare support teams.
The Gabba,Cycling,56756,37.78,47.74,28.28,92,66,82,1.52,7.43,79,58,104.38,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Tennis,27010,25.39,37.49,10.5,95,90,29,3.66,6.79,88,8,73.73,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Paralympic Event,22889,33.46,65.16,1.99,7,72,57,11.84,7.64,78,95,100.59,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Basketball,25176,18.29,46.4,21.4,58,70,91,3.33,8.96,68,57,80.5,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Closing Ceremony,81502,30.11,58.82,23.23,100,85,61,2.77,5.0,52,10,93.41,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Closing Ceremony,65935,29.77,45.2,17.99,1,93,93,13.66,5.32,54,79,106.84,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Athletics,65593,25.66,80.2,19.79,95,61,37,8.23,6.55,42,93,102.32,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Opening Ceremony,36709,23.39,45.5,20.84,12,26,99,12.44,1.1,92,78,87.1,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,29031,33.22,45.32,2.65,100,83,75,2.68,2.56,76,62,103.58,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Tennis,25884,35.77,80.34,18.9,45,49,47,5.18,9.03,98,28,85.25,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Closing Ceremony,33901,19.89,76.14,24.38,37,47,26,14.98,3.6,70,90,85.21,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,55626,37.95,48.28,1.21,12,34,74,5.73,7.95,50,29,86.73,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,67767,24.24,35.87,0.51,23,48,95,4.98,1.76,82,57,77.84,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Swimming,51287,26.3,57.13,11.72,67,60,28,11.47,4.7,49,60,90.83,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Opening Ceremony,16094,36.56,86.1,10.26,68,62,58,7.3,4.71,89,3,96.69,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Opening Ceremony,72753,32.3,67.62,1.6,10,60,17,5.76,8.7,95,86,76.19,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Cycling,41182,31.82,73.34,19.46,73,21,82,11.34,8.2,40,14,102.54,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Basketball,66845,27.1,71.73,25.12,13,49,19,10.44,0.74,98,42,70.14,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Basketball,39087,34.06,87.85,16.08,55,89,93,13.28,6.05,88,65,122.52,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Tennis,29519,19.9,67.67,21.08,28,39,89,1.73,6.27,91,54,69.33,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Tennis,83653,29.94,62.59,29.29,55,47,26,11.19,3.22,48,34,86.95,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Basketball,47788,35.95,69.24,29.2,7,78,94,11.75,1.72,99,52,105.65,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,83768,31.39,84.05,9.18,10,97,49,6.54,2.1,98,19,81.94,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,7775,20.02,44.21,4.42,2,36,39,2.16,0.58,62,10,44.75,Low,Continue normal monitoring.
Brisbane Entertainment Centre,Closing Ceremony,30479,22.39,36.13,24.8,27,48,35,10.27,1.09,76,25,65.19,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Basketball,49254,33.54,39.21,29.6,86,21,1,12.53,7.21,85,95,91.27,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,52295,29.61,62.8,4.32,98,43,59,7.57,1.28,94,94,101.81,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Athletics,35134,19.14,58.02,13.75,12,88,47,8.43,9.92,56,14,68.17,Medium,Increase monitoring and prepare support teams.
The Gabba,Paralympic Event,43862,28.76,81.21,29.68,8,39,19,0.73,5.47,52,79,66.64,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Paralympic Event,41683,27.66,81.1,10.84,98,47,17,2.29,7.14,98,88,83.09,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Tennis,40303,21.93,87.33,5.26,82,76,59,7.6,6.63,43,38,94.77,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Opening Ceremony,72231,23.59,42.24,25.64,52,93,66,3.67,2.24,73,79,85.55,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Closing Ceremony,68909,37.4,66.42,4.29,77,31,98,14.11,8.99,51,48,122.66,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Paralympic Event,54500,33.92,44.63,20.18,40,30,84,13.17,2.87,61,3,95.0,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Cycling,15878,30.01,37.94,11.3,80,53,35,7.15,3.84,56,23,82.98,High,"Deploy additional transport, security, and medical support."
The Gabba,Closing Ceremony,76386,18.8,51.03,6.23,89,58,12,7.29,4.93,64,60,73.25,Medium,Increase monitoring and prepare support teams.
